50,Baby Hit,Мясо цыплят с картофелем и морковью,да,100,16,24,3.17,,59,57,56,56,53,50,47,44,41
51,Baby Hit,Пюре из кролика,,100,16,24,3.17,4810380079956,114,112,110,109,103,97,91,86,80
52,Baby Hit,Пюре из мяса индейки,,100,16,24,3.17,4810380079918,74,73,71,71,67,63,60,56,52
53,Baby Hit,Пюре из мяса цыплят,да,100,16,24,3.17,4810380080426,67,66,65,64,61,57,54,50,47
54,Ложка в ладошке,Пюре из яблок и черники,да,100,12,,,,38,37,36,36,,,,,
55,Ложка в ладошке,Пюре яблочное,да,100,12,,,,34,34,33,33,,,,,
56,Ложка в ладошке,Пюре из груш,да,100,12,,,,38,37,36,36,,,,,
57,Ложка в ладошке,Пюре из персиков,да,100,12,,,,39,38,37,37,,,,,
58,Ложка в ладошке,Пюре из яблок и чернослива,да,100,12,,,,41,40,39,39,,,,,
59,Ложка в ладошке,Пюре из кабачков,да,100,12,,,,34,34,33,33,,,,,
60,Ложка в ладошке,Пюре морковное,да,100,12,,,,34,34,33,33,,,,,
61,Ложка в ладошке,Пюре тыквенное,да,100,12,,,,38,37,36,36,,,,,
62,Ложка в ладошке,Пюре из брокколи,,100,12,,,,47,46,45,44,,,,,
63,Ложка в ладошке,Пюре из цветной капусты,,100,12,,,,46,45,44,43,,,,,
64,Ложка в ладошке,Говядина сочная,да,100,16,,,,72,71,69,68,,,,,
65,Ложка в ладошке,Говядина с мясом цыплят,да,100,16,,,,74,72,71,70,,,,,
66,Ложка в ладошке,Говядина плюс индейка,да,100,16,,,,69,68,66,66,,,,,
67,Ложка в ладошке,Пюре из мяса цыплят,да,100,16,,,,69,68,66,66,,,,,
68,Ложка в ладошке,Пюре из мяса индейки ,да,100,16,,,,72,70,69,68,,,,,
69,Ложка в ладошке,Мясо индейки с печенью,да,100,16,,,,76,74,73,72,,,,,
70,Ложка в ладошке,Мясо индейки с языком,да,100,16,,,,76,74,73,72,,,,,
71,PiPa,Пюре из яблок с кобыльим молоком,да,100,12,,,,70,69,68,67,,,,,
72,PiPa,Пюре из яблок и черники с козьим йогуртом и злаками ,да,100,12,,,,70,69,68,67,,,,,
73,PiPa,Пюре из банана и клубники с козьим йогуртом ,да,100,12,,,,70,69,68,67,,,,,
74,PiPa,Пюре из груш с кобыльим молоком ,да,100,12,,,,70,69,68,67,,,,,
75,PiPa,Пюре из яблок и банана с козьим йогуртом ,да,100,12,,,,70,69,68,67,,,,,
76,PiPa,Пюре из яблока и чернослива с козьим йогуртом ,да,100,12,,,,70,69,68,67,,,,,
